v1,v2,v3,v4,v5,v6,v7,crimerate,education,employment,finished_sq_ft,housing,last_sold_price,lot_size_sq_ft,price_appreciated,tax_assesment,use_code,weather,zest_amt,zest_high,zest_low,zest_value_change,zpid
10276,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,340000,-0.5,1,423509,453155,402334,2973,61347970
10277,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6560,2,0,255000,-0.5,1,310261,341287,294748,-9332,53366101
10278,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4499,2,0,127000,-0.5,1,188613,209360,171638,2515,15367022
10279,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5837,2,0,299000,-0.5,1,384070,403273,364867,1668,61340013
10280,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,11881,2,0,496000,-0.5,1,512152,558246,466058,12559,61347857
10281,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5693,2,0,308000,-0.5,1,416711,437547,395875,3168,58726627
10282,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,60312,-0.5,1,262598,294110,228460,4819,15354282
10283,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6740,2,0,194000,-0.5,1,271491,293210,252487,13491,15377403
10284,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,10861,2,0,371000,-0.5,1,450704,486760,419155,1085,63102094
10285,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6300,2,0,281000,-0.5,1,397324,433083,365538,3613,15373874
10286,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,2,1.5,78408,2,0,510000,-0.5,1,595329,660815,535796,-7093,15379069
10287,0,2,0,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6100,2,0,68965,-0.5,1,197477,221174,179704,1183,15353781
10288,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,10345,2,0,270000,-0.5,1,370826,393076,337452,10726,61347901
10289,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6969,2,0,273000,-0.5,1,317651,343063,298592,3439,35962941
10290,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,8102,2,0,343000,-0.5,1,384806,411742,365566,9848,53367566
10291,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,243553,-0.5,1,335712,355855,308855,8656,15352631
10292,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,8276,2,0,286006,-0.5,1,364517,390033,331710,5025,15352997
10293,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4395,2,0,144656,-0.5,1,227598,254910,195734,454,15370547
10294,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6300,2,0,336000,-0.5,1,429660,464033,403880,7812,58726456
10295,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4356,2,0,216000,-0.5,1,293510,319926,264159,7045,15377677
10296,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,315000,-0.5,1,375516,405557,356740,870,53367281
10297,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5500,2,0,295000,-0.5,1,363629,389083,330902,10246,64799289
10298,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7927,2,0,468000,-0.5,1,492746,517383,463181,4865,53729560
10299,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5500,2,0,127000,-0.5,1,185711,207996,165283,1892,15366700
10300,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5140,2,0,241498,-0.5,1,349466,370434,325003,4906,15371407
10301,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6011,2,0,240000,-0.5,1,308770,324208,287156,4842,35963607
10302,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5663,2,0,280000,-0.5,1,339116,362854,322160,1589,15368251
10303,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,276000,-0.5,1,371517,404954,338080,5310,67419886
10304,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6534,2,0,145480,-0.5,1,157992,183271,129553,-2945,15377382
10305,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7504,2,0,220000,-0.5,1,300221,321236,285210,2592,15353662
10306,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4791,2,0,97563,-0.5,1,170972,196618,145326,1628,15367770
10307,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7482,2,0,310080,-0.5,1,373375,395778,343505,21492,15371740
10308,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,146404,-0.5,1,236788,253363,215477,4043,15364758
10309,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4356,2,0,394000,-0.5,1,397647,433435,357882,-597,15378906
10310,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6882,2,0,168000,-0.5,1,235382,263628,218905,-1190,15366539
10311,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7405,2,0,65466,-0.5,1,178999,200479,155729,1036,15354063
10312,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6050,2,0,180000,-0.5,1,303095,333404,275816,5029,15352881
10313,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4692,2,0,217000,-0.5,1,333945,350642,300551,10564,15352571
10314,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,2178,2,0,220000,-0.5,1,311587,333398,296008,4776,79573457
10315,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5870,2,0,252000,-0.5,1,363560,389009,338111,5743,15376375
10316,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5626,2,0,252000,-0.5,1,327964,347642,305007,2965,15373207
10317,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,8581,2,0,451000,-0.5,1,506439,536825,481117,1719,94702861
10318,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5040,2,0,310000,-0.5,1,344942,386335,317347,-9799,58726516
10319,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7405,2,0,375000,-0.5,1,350131,378141,318619,3379,69031027
10320,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4480,2,0,297000,-0.5,1,380426,399447,361405,5884,69026279
10321,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,9583,2,0,314469,-0.5,1,402939,423086,382792,8535,15377758
10322,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6577,2,0,239292,-0.5,1,337312,357551,317073,2510,15373353
10323,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7056,2,0,276000,-0.5,1,338374,362060,318072,5501,53367548
10324,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6929,2,0,476000,-0.5,1,499161,524119,474203,3160,53366988
10325,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7418,2,0,165000,-0.5,1,234722,248805,220639,6029,15353862
10326,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5703,2,0,126159,-0.5,1,226445,255883,206065,1047,15376771
10327,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5140,2,0,279000,-0.5,1,318214,337307,299121,9443,61348479
10328,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7797,2,0,347000,-0.5,1,374800,401036,348564,5085,53367924
10329,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,10454,2,0,303000,-0.5,1,396814,416655,376973,5747,54636837
