id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
2132,0,3777 Marlboro Way,1.5,3,Pleasanton,871,8/21/2013,423500,37.700091,-121.867078,871,CA,185127,2013,0,Condominium,1979,407520,436046,383069,4037,94588,25075033
2133,0,3777 Newton Way,3,5,Pleasanton,16018,4/11/1997,733000,37.690254,-121.866042,16018,CA,1032788,2013,12,SingleFamily,1997,1657777,1806977,1491999,-58787,94588,25075902
2134,0,3777 Rose Rock Cir,2.5,4,Pleasanton,4105,8/14/2002,532000,37.68834,-121.869416,4105,CA,625690,2013,9,SingleFamily,1994,757452,810474,712005,2293,94588,25074096
2135,0,3778 Angus Way,2.5,4,Pleasanton,3728,3/17/2005,775000,37.689707,-121.867298,3728,CA,683000,2013,8,SingleFamily,1996,732451,783723,681179,-1911,94588,25074223
2136,0,3779 Fairlands Dr,2,4,Pleasanton,7800,1/19/2006,780000,37.699553,-121.866866,7800,CA,700000,2013,8,SingleFamily,1985,763101,847042,671529,-4973,94588,25075070
2137,0,3779 Oak Brook Ct,2.5,4,Pleasanton,8615,4/25/2006,965000,37.696483,-121.867986,8615,CA,741000,2013,0,SingleFamily,1973,920998,985468,856528,661,94588,25074810
2138,0,3779 Thistle Way,1.5,3,Pleasanton,1243,11/9/2004,425000,37.700659,-121.865476,1243,CA,329000,2013,0,Condominium,1979,390497,433452,347542,3963,94588,25074994
2139,0,3780 Marlboro Way,1.5,3,Pleasanton,866,11/9/2006,425000,37.700212,-121.867423,866,CA,329000,2013,0,Condominium,1977,401672,429789,365522,6322,94588,25075044
2140,0,3780 Thistle Way,1.5,3,Pleasanton,1121,0,0,37.700651,-121.865913,1121,CA,215138,2013,0,Condominium,1979,397765,433564,361966,2509,94588,25074989
2141,0,3781 Angus Way,2.5,4,Pleasanton,5971,7/12/1996,326000,37.689138,-121.866908,5971,CA,481950,2013,8,SingleFamily,1996,708314,814561,630399,-1507,94588,25074229
2142,0,4356 Diavila Ave,2.5,3,Pleasanton,3246,6/10/1998,340000,37.688313,-121.876753,3246,CA,440860,2013,6,SingleFamily,1993,729308,773066,685550,-3587,94588,25074036
2143,0,3782 Kamp Dr,2.5,4,Pleasanton,4791,5/3/2011,623500,37.686399,-121.868519,4791,CA,648688,2013,7,SingleFamily,1988,682683,723644,634895,9258,94588,25084928
2144,0,3782 W Las Positas Blvd,2,3,Pleasanton,6262,8/28/2003,515000,37.694376,-121.866728,6262,CA,594592,2013,7,SingleFamily,1975,729042,772785,663428,-7633,94588,25074944
2145,0,3783 Brockton Dr,1.5,3,Pleasanton,866,2/27/1998,149500,37.700047,-121.868193,866,CA,193848,2013,5,Condominium,1977,395649,431257,352128,8715,94588,25075057
2146,0,3783 Kamp Dr,2.5,3,Pleasanton,5264,8/7/2012,151500,37.686465,-121.867961,5264,CA,647136,2013,7,SingleFamily,1988,684447,732358,629691,5687,94588,25084918
2147,0,3784 Angus Way,2.5,4,Pleasanton,4015,9/11/1996,304000,37.689834,-121.867304,4015,CA,401931,2013,8,SingleFamily,1996,730253,788673,671833,-2491,94588,25074222
2148,0,3784 Fairlands Dr,2,4,Pleasanton,6200,2/15/2011,199500,37.699064,-121.866908,6200,CA,610400,2013,8,SingleFamily,1985,751176,803758,706105,-4203,94588,25075117
2149,0,3785 Thistle Way,1.5,3,Pleasanton,1243,5/23/2008,350000,37.700723,-121.865478,1243,CA,329000,2013,5,Condominium,1979,390773,433758,347788,4561,94588,25074993
2150,0,3788 Marlboro Way,2,2,Pleasanton,786,2/23/2005,433000,37.700271,-121.867409,786,CA,277000,2013,0,Townhouse,1977,402839,447151,362555,-3257,94588,25075045
2151,0,3790 Angus Way,3,4,Pleasanton,4064,12/18/1998,380000,37.689958,-121.867282,4064,CA,483380,2013,8,SingleFamily,1996,801564,873705,745455,4547,94588,25074221
2152,0,3790 Kamp Dr,2,2,Pleasanton,4548,4/10/1998,271000,37.686522,-121.868542,4548,CA,350094,2013,5,SingleFamily,1988,614451,669752,571439,1014,94588,25084929
2153,0,3791 Fairlands Dr,3,4,Pleasanton,7800,6/17/1999,431000,37.699555,-121.867091,7800,CA,548688,2013,8,SingleFamily,1985,760278,859114,646236,5652,94588,25075069
2154,0,3791 Thistle Way,2,3,Pleasanton,1528,7/1/2010,245000,37.700809,-121.865498,1528,CA,254897,2013,5,Condominium,1980,360826,396909,328352,2113,94588,25074992
2155,0,3793 Marlboro Way,1.5,3,Pleasanton,866,4/8/2005,475000,37.700215,-121.867044,866,CA,329000,2013,5,Condominium,1979,404743,433075,376411,5037,94588,25075031
2156,0,3796 Angus Way,2.5,4,Pleasanton,3977,9/7/2007,802000,37.690068,-121.867191,3977,CA,683000,2013,8,SingleFamily,1996,730009,795710,664308,-2054,94588,25074220
2157,0,3796 Fairlands Dr,3,4,Pleasanton,6956,5/30/1997,336000,37.699072,-121.867136,6956,CA,444386,2013,8,SingleFamily,1985,774767,821253,720533,4470,94588,25075118
2158,0,3798 Fairlands Dr,2.5,4,Pleasanton,7927,4/17/1997,323000,37.699062,-121.867392,7927,CA,463182,2013,9,SingleFamily,1985,801163,849233,745082,1786,94588,25075154
2159,0,3800 Trenery Dr,2.5,3,Pleasanton,35235,0,0,37.688556,-121.867447,35235,CA,279929,2013,7,SingleFamily,1964,1272067,1437436,1106698,-1178,94588,25074249
2160,0,3801 Kamp Dr,2,2,Pleasanton,5582,12/2/1992,210000,37.686737,-121.868038,5582,CA,295360,2013,4,SingleFamily,1988,472490,543363,406341,-2014,94588,25084919
2161,0,3801 Mohr Ave,3,4,Pleasanton,11761,7/10/2008,1325000,37.682251,-121.866999,11761,CA,1100000,2013,9,SingleFamily,1989,1249081,1349007,1136664,5588,94588,25083892
2162,0,3802 Kamp Dr,2.5,3,Pleasanton,4572,3/30/1999,355000,37.686637,-121.868594,4572,CA,451935,2013,7,SingleFamily,1988,684232,738971,629493,10142,94588,25084930
2163,0,3803 Cheshire Ct,2,4,Pleasanton,8254,7/16/1999,380000,37.699045,-121.86783,8254,CA,474281,2013,8,SingleFamily,1985,768735,830234,707236,-7197,94588,25075121
2164,0,3803 Saratoga Way,1,2,Pleasanton,1173,9/16/2008,255000,37.700251,-121.867805,1173,CA,266663,2013,4,Condominium,1977,278732,306605,250859,2677,94588,25075048
2165,0,3804 Stone Pointe Way,2.5,4,Pleasanton,4068,12/16/1998,332000,37.69094,-121.868548,4068,CA,422655,2013,9,SingleFamily,1993,772165,826217,725835,-223,94588,25074117
2166,0,3805 Mohr Ave,2.5,5,Pleasanton,11021,4/30/1999,710000,37.682678,-121.86699,11021,CA,922022,2012,10,SingleFamily,1989,1243337,1342804,1131437,7811,94588,25083894
2167,0,3806 Picard Ave,3.5,5,Pleasanton,19602,6/4/2013,1610000,37.690627,-121.864387,19602,CA,1409868,2013,9,SingleFamily,1996,1647016,1795247,1515255,9613,94588,25075883
2168,0,3807 Picard Ave,4,5,Pleasanton,17052,12/31/1996,581500,37.691058,-121.864414,17052,CA,844589,2013,9,SingleFamily,1996,1494657,1629176,1360138,16592,94588,25075884
2169,0,3808 Stone Pointe Way,2.5,4,Pleasanton,3360,5/10/2002,530000,37.69085,-121.868608,3360,CA,635808,2013,9,SingleFamily,1993,770417,824346,731896,1651,94588,25074118
2170,0,3809 Fairlands Dr,3,4,Pleasanton,7800,0,0,37.699557,-121.867316,7800,CA,285275,2013,8,SingleFamily,1985,759735,828111,698956,3964,94588,25075068
2171,0,3809 Kamp Dr,2,2,Pleasanton,4831,7/28/2009,540000,37.686871,-121.868087,4831,CA,566043,2013,5,SingleFamily,1988,604721,677288,538202,-2367,94588,25084920
2172,0,3809 Mohr Ave,3,4,Pleasanton,13059,3/26/2013,1230000,37.682695,-121.867289,13059,CA,1230000,2013,11,SingleFamily,1989,1352314,1419930,1257652,11582,94588,25083893
2173,0,3810 Kamp Dr,2,2,Pleasanton,5218,7/11/2012,499000,37.686747,-121.868657,5218,CA,499000,2013,4,SingleFamily,1988,513337,580071,456870,-10279,94588,25084931
2174,0,3810 Stratford Ct,2,4,Pleasanton,8509,8/20/1999,400000,37.697778,-121.867839,8509,CA,499243,2013,7,SingleFamily,1985,781513,828404,734622,-3890,94588,25075138
2175,0,3812 Stone Pointe Way,2,3,Pleasanton,4110,6/12/1992,235000,37.690775,-121.868699,4110,CA,336885,2013,7,SingleFamily,1993,701496,750601,645376,673,94588,25074119
2176,0,3813 Brockton Dr,2,3,Pleasanton,866,1/4/2013,341000,37.700327,-121.868185,866,CA,188729,2013,5,Condominium,1977,408602,437204,371828,3382,94588,25075059
2177,0,3813 Stone Pointe Way,2.5,4,Pleasanton,3389,7/18/2003,525000,37.691021,-121.869134,3389,CA,606138,2013,8,SingleFamily,1992,776417,830766,737596,2076,94588,25074168
2178,0,3815 Saratoga Way,1.5,3,Pleasanton,866,2/2/2010,285000,37.700316,-121.867811,866,CA,298744,2013,5,Condominium,1977,402601,434809,362341,5924,94588,25075047
2179,0,3815 Stratford Ct,2,4,Pleasanton,8244,9/7/1984,150000,37.698251,-121.867834,8244,CA,264663,2013,7,SingleFamily,1985,761431,822345,715745,-4042,94588,25075130
2180,0,3816 Stone Pointe Way,2,3,Pleasanton,4110,9/17/2002,489000,37.690688,-121.868788,4110,CA,575117,2013,7,SingleFamily,1993,702054,744177,652910,1538,94588,25074120
2181,0,4328 Fairlands Dr,2.5,2,Pleasanton,1655,9/9/2011,330000,37.693704,-121.876229,1655,CA,336600,2013,6,SingleFamily,1985,564185,598036,507767,1733,94588,25074580
2182,0,3817 Kamp Dr,2,2,Pleasanton,5147,4/28/2005,637000,37.686994,-121.868131,5147,CA,306585,2013,4,SingleFamily,1988,480386,557248,403524,661,94588,25084921
2183,0,3818 Kamp Dr,2.5,3,Pleasanton,4944,7/15/2005,718000,37.686861,-121.868705,4944,CA,597000,2013,5,SingleFamily,1988,661620,707933,615307,5620,94588,25084932
2184,0,3818 Picard Ave,4,5,Pleasanton,15138,12/31/1996,589500,37.690624,-121.864837,15138,CA,743158,2010,9,SingleFamily,1996,1486932,1620756,1353108,8679,94588,25075906
2185,0,3819 Picard Ave,3,5,Pleasanton,15004,10/24/2008,1430000,37.691054,-121.864906,15004,CA,1495407,2013,12,SingleFamily,1996,1831168,2069220,1629740,6240,94588,25075885
2186,0,3458 Windsor Ct,3,6,Pleasanton,7515,10/27/2004,790000,37.69748,-121.869537,7515,CA,720000,2013,11,SingleFamily,1969,818665,867785,761358,5040,94588,25074763
2187,0,3820 Stone Pointe Way,2.5,4,Pleasanton,3484,1/29/2009,595000,37.690601,-121.868862,3484,CA,622214,2013,9,SingleFamily,1993,766363,827672,728045,2769,94588,25074121
2188,0,3822 W Las Positas Blvd,3,4,Pleasanton,6098,10/22/2010,692000,37.694006,-121.867567,6098,CA,680000,2013,7,SingleFamily,1975,790326,837746,719197,5537,94588,25074924
2189,0,3824 Newton Way,3,4,Pleasanton,4275,0,0,37.690449,-121.867145,4275,CA,433673,2013,8,SingleFamily,1996,818169,883623,760897,6292,94588,25074214
2190,0,3825 Brockton Dr,3,4,Pleasanton,1045,12/31/2012,442000,37.700391,-121.868181,1045,CA,442000,2013,0,Townhouse,1977,566559,628880,509903,3972,94588,25075060
2191,0,3825 Cheshire Ct,2.5,4,Pleasanton,8276,3/31/2010,700000,37.699046,-121.868066,8276,CA,733760,2013,9,SingleFamily,1985,765531,819118,719599,334,94588,25075122
