v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
4653,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5974,-2,163501,-0.5,1,585248,620363,550133,-1099,19825510
4654,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5314,2,50354,-0.5,1,416944,458638,371080,11045,19728213
4655,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7405,2,883000,-0.5,1,1179038,1273361,1049344,6109,19685093
4656,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6969,-2,275494,-0.5,1,719266,769615,676110,-232,19821470
4657,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,9147,2,103969,0.5,1,405146,437558,372734,3243,19799615
4658,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5831,2,752741,-0.5,1,848766,925155,780865,12705,19767437
4659,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,11040,-2,0,-0.5,1,847710,957912,712076,-20675,2110687875
4660,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,109220,0.5,1,502989,538198,462750,-850,19799842
4661,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,301000,0.5,1,407389,439980,374798,6932,19807846
4662,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4356,-2,153000,-0.5,1,475221,527495,422947,1423,82954798
4663,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,8100,2,144427,2,1,1233835,1492940,1024083,34206,82955073
4664,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6534,-2,79283,-0.5,1,616693,647528,579691,2077,19788196
4665,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,479,2,446000,0.5,1,503137,543388,462886,698,19799894
4666,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6969,2,627300,2,1,900196,1071233,639139,-11490,19577630
4667,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6000,2,275457,-0.5,1,522844,585585,481016,-10656,19803921
4668,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,-2,370000,-0.5,1,610143,646752,573534,5876,112092142
4669,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5750,2,412000,-0.5,1,578952,619479,532636,9603,19586073
4670,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5227,2,287062,-0.5,1,392421,419890,361027,8908,19730051
4671,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,-2,200939,-0.5,1,600146,648158,552134,-1479,19823539
4672,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,805000,-0.5,1,1036798,1130110,943486,8276,51075101
4673,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,-2,348000,0.5,1,519370,555726,488208,4877,64503344
4674,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6300,-2,77950,-0.5,1,615100,652006,584345,7027,19829008
4675,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,294000,-0.5,1,479029,512561,445497,4273,19815295
4676,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,0.5,1,0,0,0,0,2108286952
