id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
4561,0,42271 Forsythia Dr,3,5,Fremont,8712,2/28/2014,1580000,37.537878,-121.9354,8712,CA,84221,2013,8,SingleFamily,1962,1432528,1590106,1246299,40774,94539,25022067
4562,0,38812 Stillwater Cmn,3,4,Fremont,3305,2/28/2014,734000,37.563915,-121.968859,3305,CA,535000,2013,7,SingleFamily,1987,666596,713258,619934,-1213,94536,25020135
4563,0,4441 Bush Cir,2.5,4,Fremont,6100,2/28/2014,812500,37.514321,-121.959625,6100,CA,294552,2013,8,SingleFamily,1988,735631,794481,684137,7389,94538,25038936
4564,0,4941 Mattos Dr,4,5,Fremont,9376,2/28/2014,1210000,37.542353,-122.007345,9376,CA,721250,2013,9,SingleFamily,1953,912425,994543,839431,6170,94536,25007522
4565,0,758 Covina Way,2,2,Fremont,6600,2/28/2014,990000,37.484774,-121.917992,6600,CA,262102,2013,4,SingleFamily,1969,690551,759606,607685,-1253,94539,25025657
4566,0,4161 Trinidad Ter,1.5,3,Fremont,901,2/28/2014,380000,37.571703,-122.037961,901,CA,174472,2013,6,Townhouse,1970,337879,381803,300712,-2137,94555,25046255
4567,0,4467 Maybeck Ter,4,3,Fremont,1829,2/28/2014,690000,37.552127,-122.009677,1829,CA,602731,2013,8,SingleFamily,2009,656469,708987,623646,-3108,94536,89032544
4568,0,300 Mackintosh Ter,4.5,5,Fremont,10623,2/28/2014,2050000,37.555985,-121.94393,10623,CA,1650000,2013,11,SingleFamily,2005,1947183,2141901,1674577,61507,94539,79535863
4569,0,4413 Elaiso Cmn,2.5,4,Fremont,1094,2/27/2014,468000,37.556411,-122.018356,1094,CA,156990,2013,7,Townhouse,1971,482969,545755,425013,8197,94536,25005695
4570,0,999 Seminole Cmn,5,4,Fremont,22651,2/27/2014,2500000,37.514561,-121.925268,22651,CA,1336068,2013,9,SingleFamily,2007,1895462,2198736,1592188,183868,94539,64960757
4571,0,32419 Lake Temescal Ln,2,3,Fremont,8712,2/27/2014,725000,37.590475,-122.061247,8712,CA,252957,2013,6,SingleFamily,1973,606808,649285,552195,33116,94555,25048999
4572,0,3183 Puttenham Way,2,3,Fremont,5800,2/27/2014,758000,37.56896,-122.012059,5800,CA,625000,2013,6,SingleFamily,1972,676174,709983,615318,8661,94536,25013602
4573,0,4343 Delaware Dr,2,3,Fremont,5662,2/26/2014,601500,37.518257,-121.960101,5662,CA,506000,2013,5,SingleFamily,1955,589801,636985,554413,-556,94538,25039330
4574,0,42939 Fremont Blvd,2,3,Fremont,5800,2/26/2014,580000,37.519516,-121.955943,5800,CA,503000,2013,5,SingleFamily,1955,534423,603898,475636,-484,94538,25039198
4575,0,5131 Amberwood Dr,3,4,Fremont,3760,2/26/2014,950000,37.564558,-122.053198,3760,CA,780300,2013,8,SingleFamily,1989,865470,926053,778923,1095,94555,25058677
4576,0,40732 Laguna Pl,2,4,Fremont,6715,2/26/2014,1030000,37.548162,-121.949215,6715,CA,819730,2013,7,SingleFamily,1964,974641,1033119,886923,8714,94539,25032346
4577,0,1494 Shinn Ct,2,3,Fremont,8822,2/26/2014,740000,37.563996,-121.982939,8822,CA,330511,2013,7,SingleFamily,1984,673649,707331,619757,4323,94536,25011135
4578,0,798 Mollie Ter,3,5,Fremont,3920,2/26/2014,852000,37.564317,-121.97429,3920,CA,427372,2013,9,SingleFamily,1996,777561,831990,723132,-100,94536,25019897
4579,0,4063 Murray Cmn,2,2,Fremont,0,2/25/2014,375000,37.542302,-121.978806,0,CA,267000,2013,4,Condominium,1980,341143,371846,303617,3724,94538,25010405
