v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
100,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2600,2,887325,-0.5,0,3545955,4148767,3014062,126000,15064529,0
101,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,258752,-0.5,0,1099456,1220396,868570,52559,15162461,0
102,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3023,2,158608,-0.5,0,3091841,3617454,2257044,-107938,15070489,0
103,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2375,2,713793,-0.5,0,846619,905882,745025,17671,15112639,0
104,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,601000,-0.5,0,760834,829309,654317,4870,15117217,0
105,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,1462258,-0.5,0,1303203,1459587,1146819,45414,79843719,0
106,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3049,2,39729,-0.5,0,519062,586540,456775,2501,15172642,0
107,0,2,0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,73693,-0.5,0,841202,942146,748670,225,15112287,0
108,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,0.5,2,6021,2,198891,-0.5,0,4202972,5085596,3404407,-36465,15082784,0
109,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2896,2,1633583,0.5,0,1941827,2174846,1669971,-1491,15082474,0
110,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1746,2,138821,-0.5,0,1100249,1298294,891202,26418,15162312,0
111,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3438,2,430793,-0.5,0,1956466,2328195,1565173,6094,15085044,0
112,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3049,2,59030,-0.5,0,712808,819729,613015,3934,15141228,0
113,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3009,2,60000,-0.5,0,895389,1011790,787942,9435,15122818,0
114,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,65594,-0.5,0,773848,874448,665509,19472,15096943,0
115,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2848,2,82722,-0.5,0,1857452,2098921,1504536,219219,15200083,0
116,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,1485,2,63933,1,0,647764,731973,589465,-5936,15105345,0
117,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,364236,0.5,0,803500,875815,666905,29782,15149370,0
